step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_2888269153_95968367_stopped,cluster_2888269153_95968367_accumulated_waiting_time,cluster_2888269153_95968367_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1325.0,10,127.0,3.175,7.844024625942848,9,124.0,0.06961347449752459,9,124.0
1330.0,12,167.0,4.394736842105263,7.479055765697065,10,174.0,0.0,10,174.0
1335.0,12,222.0,6.166666666666667,7.645583308537401,10,224.0,0.21147206827544676,10,224.0
1340.0,4,39.0,1.0263157894736843,7.168734138630546,1,150.0,0.18621018195752426,1,150.0
1345.0,5,19.0,0.5,9.048240522990687,3,120.0,0.2335983819409611,3,120.0
1350.0,7,16.0,0.42105263157894735,7.719217300725762,5,117.0,0.22256546510456537,5,117.0
1355.0,13,75.0,1.829268292682927,8.111613123386602,7,152.0,0.2750331134036958,7,152.0
1360.0,11,109.0,2.725,7.996343533215013,7,178.0,0.2312900744586526,7,178.0
1365.0,12,121.0,3.1025641025641026,6.591541877831796,11,221.0,0.04337327544817338,11,221.0
1370.0,14,185.0,5.4411764705882355,5.73383220012239,12,275.0,4.0677607947850926e-05,12,275.0
1375.0,13,232.0,6.27027027027027,7.102165212377801,12,335.0,0.06889836195566744,12,335.0
1380.0,14,298.0,7.842105263157895,7.529740651251589,12,410.0,0.1884477598767013,12,410.0
1385.0,16,371.0,9.763157894736842,6.68879964268027,14,458.0,0.11685104817573821,14,458.0
1390.0,16,445.0,10.853658536585366,6.344709765651574,14,522.0,0.10930778620681444,14,522.0
1395.0,22,541.0,13.525,5.802396011329306,17,597.0,0.10686379559038459,17,597.0
1400.0,17,471.0,10.953488372093023,5.819823735287732,14,562.0,0.13252704638790214,14,562.0
1405.0,21,564.0,12.26086956521739,5.54189953668543,17,553.0,0.09028796326780827,17,553.0
1410.0,19,647.0,14.704545454545455,6.106519429360716,16,630.0,0.0667734892822156,16,630.0
